GeneID,GeneName,PrimaryClass,MatchedClasses,Confidence,Evidence,Source,GO_BP,Family_SubFamily,ProteinClass
SORBI_3001G222700,aldehyde oxygenase (deformylating),Lipids,Lipids,High,GO_BP:\blipid\b; GO_BP:wax; GO_BP:cutin,sum_ratio,response to stress(GO:0006950);lipid biosynthetic process(GO:0008610);response to salt stress(GO:0009651);response to abscisic acid(GO:0009737);wax biosynthetic process(GO:0010025);cutin biosynthetic process(GO:0010143);pollen exine formation(GO:0010584);anther development(GO:0048653);anther wall tapetum development(GO:0048658),VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE GL1-5 (PTHR11863:SF210),oxidase(PC00175)
SORBI_3001G258600,GDSL esterase_lipase,Lipids,Lipids,Medium,Name/Family:lipase,sum_ratio,,OS10G0393700 PROTEIN (PTHR22835:SF544),
SORBI_3001G280100,ABC1 atypical kinase-like domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,membrane lipid biosynthetic process(GO:0046467);regulation of response to reactive oxygen species(GO:1901031),"PROTEIN ACTIVITY OF BC1 COMPLEX KINASE 7, CHLOROPLASTIC (PTHR10566:SF113)",
SORBI_3001G283600,Uncharacterized protein,Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,lipid transport(GO:0006869),OS09G0538800 PROTEIN (PTHR10774:SF216),membrane trafficking regulatory protein(PC00151)
SORBI_3001G283700,glycerol-3-phosphate 1-O-acyltransferase,Lipids,Lipids,High,GO_BP:\blipid\b; GO_BP:glycerophospholipid; GO_BP:phospholipid,sum_ratio,lipid metabolic process(GO:0006629);glycerophospholipid metabolic process(GO:0006650);phosphatidylglycerol biosynthetic process(GO:0006655);phospholipid biosynthetic process(GO:0008654);CDP-diacylglycerol biosynthetic process(GO:0016024),"GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE, CHLOROPLASTIC (PTHR35695:SF1)",acyltransferase(PC00042)
SORBI_3001G535600,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b; Name/Family:lipid transfer,sum_ratio,lipid transport(GO:0006869),NON-SPECIFIC LIPID-TRANSFER PROTEIN 2 (PTHR33214:SF34),
SORBI_3001G541300,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,Medium,Name/Family:\blipid\b; Name/Family:lipid transfer,sum_ratio,,OS10G0178000 PROTEIN (PTHR31731:SF131),
SORBI_3001G541800,PH domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,lipid transport(GO:0006869),OXYSTEROL-BINDING PROTEIN 1 (PTHR10972:SF206),transfer/carrier protein(PC00219)
SORBI_3001G542000,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,Medium,Name/Family:\blipid\b; Name/Family:lipid transfer,sum_ratio,,OS01G0733100 PROTEIN (PTHR31731:SF8),
SORBI_3002G113700,Lipase,Lipids,Lipids,Medium,Name/Family:lipase,sum_ratio,,LIPASE (PTHR34043:SF5),hydrolase(PC00121)
SORBI_3002G113900,Uncharacterized protein,Lipids,Lipids,High,GO_BP:\blipid\b,individual,lipid transport(GO:0006869),C2 CALCIUM_LIPID-BINDING ENDONUCLEASE_EXONUCLEASE_PHOSPHATASE-RELATED (PTHR10774:SF190),membrane trafficking regulatory protein(PC00151)
SORBI_3002G117500,Glycosyltransferase family 28 N-terminal domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b,individual,carbohydrate metabolic process(GO:0005975);lipid metabolic process(GO:0006629);steroid biosynthetic process(GO:0006694);steroid metabolic process(GO:0008202);post-embryonic development(GO:0009791);fruit development(GO:0010154);sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126),OS07G0419500 PROTEIN (PTHR48050:SF10),glycosyltransferase(PC00111)
SORBI_3002G125900,ORM1-like protein 3,Lipids,Lipids,High,GO_BP:sphingolipid; GO_BP:ceramide,sum_ratio,ceramide metabolic process(GO:0006672);sphingolipid biosynthetic process(GO:0030148);intracellular sphingolipid homeostasis(GO:0090156),OS07G0452500 PROTEIN (PTHR12665:SF15),
SORBI_3002G128600,AB hydrolase-1 domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b,individual,lipid metabolic process(GO:0006629),OS02G0589700 PROTEIN (PTHR11440:SF52),acyltransferase(PC00042)
SORBI_3002G134300,GDSL esterase_lipase,Lipids,Lipids,High,GO_BP:\blipid\b; Name/Family:lipase,sum_ratio,lipid metabolic process(GO:0006629),GDSL ESTERASE_LIPASE (PTHR46020:SF26),
SORBI_3002G139100,Fungal lipase-like domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b; Name/Family:lipase,sum_ratio,lipid metabolic process(GO:0006629),ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR47418:SF1),hydrolase(PC00121)
SORBI_3002G374600,beta-ketoacyl-[acyl-carrier-protein] synthase I,Lipids,Lipids,High,GO_BP:\blipid\b; GO_BP:fatty acid,individual,lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633),BETA-KETOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE I (PTHR11712:SF358),
SORBI_3003G330800,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,Medium,Name/Family:\blipid\b; Name/Family:lipid transfer,sum_ratio,,5A2 PROTEIN (PTHR33286:SF44),
SORBI_3004G254200,aldehyde oxygenase (deformylating),Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,lipid biosynthetic process(GO:0008610),ALDEHYDE OXYGENASE (DEFORMYLATING) (PTHR11863:SF126),oxidase(PC00175)
SORBI_3004G284500,ORM1-like protein 3,Lipids,Lipids,High,GO_BP:sphingolipid; GO_BP:ceramide,sum_ratio,ceramide metabolic process(GO:0006672);sphingolipid biosynthetic process(GO:0030148);intracellular sphingolipid homeostasis(GO:0090156),ORM1-LIKE PROTEIN 2 (PTHR12665:SF30),
SORBI_3005G039800,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,Medium,Name/Family:\blipid\b; Name/Family:lipid transfer,sum_ratio,,,
SORBI_3005G090300,Glycerophosphodiester phosphodiesterase,Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,glycerol metabolic process(GO:0006071);lipid metabolic process(GO:0006629),GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE GDPD4 (PTHR47449:SF2),phosphodiesterase(PC00185)
SORBI_3005G212000,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,Medium,Name/Family:\blipid\b; Name/Family:lipid transfer,sum_ratio,,,
SORBI_3006G011300,START domain-containing protein,Lipids,Lipids,Low,Other:\blipid\b,sum_ratio,,PHOSPHATIDYLCHOLINE TRANSFER PROTEIN (PTHR19308:SF39),
SORBI_3006G214500,Lecithin-cholesterol acyltransferase-like 4,Lipids,Lipids,High,GO_BP:\blipid\b; GO_BP:phospholipid; Other:lipase,individual,lipid metabolic process(GO:0006629);phospholipid catabolic process(GO:0009395),LECITHIN-CHOLESTEROL ACYLTRANSFERASE-LIKE 4 (PTHR11440:SF103),acyltransferase(PC00042)
SORBI_3006G216800,Peroxisomal ATPase PEX6,Lipids,Lipids,High,GO_BP:fatty acid,individual,fatty acid beta-oxidation(GO:0006635);peroxisome organization(GO:0007031);protein import into peroxisome matrix(GO:0016558);protein unfolding(GO:0043335),PEROXISOMAL ATPASE PEX6 (PTHR23077:SF9),primary active transporter(PC00068)
SORBI_3007G158700,Patatin,Lipids,Lipids,High,GO_BP:\blipid\b; Other:lipase; Other:phospholipase,sum_ratio,lipid metabolic process(GO:0006629);defense response(GO:0006952);lipid catabolic process(GO:0016042),PATATIN (PTHR32176:SF46),isomerase(PC00135)
SORBI_3007G158800,Patatin,Lipids,Lipids,High,GO_BP:\blipid\b; Other:lipase; Other:phospholipase,sum_ratio,lipid metabolic process(GO:0006629);defense response(GO:0006952);lipid catabolic process(GO:0016042),PATATIN-LIKE PROTEIN 2 (PTHR32176:SF26),isomerase(PC00135)
SORBI_3008G076250,Aldehyde oxygenase (deformylating),Lipids,Lipids,Medium,Name/Family:aldehyde decarbonylase; Name/Family:\bcer1\b,sum_ratio,,VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE CER1 (PTHR11863:SF193),oxidase(PC00175)
SORBI_3008G077600,Diacylglycerol kinase,Lipids,Lipids,High,GO_BP:glycerolipid; Name/Family:diacylglycerol; GO_BP:lipase,sum_ratio,defense response(GO:0006952);signal transduction(GO:0007165);phospholipase C-activating G protein-coupled receptor signaling pathway(GO:0007200);response to wounding(GO:0009611);intracellular signal transduction(GO:0035556);glycerolipid metabolic process(GO:0046486);root development(GO:0048364);leaf development(GO:0048366),DIACYLGLYCEROL KINASE 2 (PTHR11255:SF104),kinase(PC00137)
SORBI_3008G124000,GDSL esterase_lipase,Lipids,Lipids,Medium,Name/Family:lipase,individual,,OS10G0393700 PROTEIN (PTHR22835:SF544),
SORBI_3010G142900,Oleosin,Lipids,Cold;Lipids,High,GO_BP:\blipid\b; Name/Family:oleosin,sum_ratio,post-embryonic development(GO:0009791);seed oilbody biogenesis(GO:0010344);lipid storage(GO:0019915);reproductive structure development(GO:0048608);response to freezing(GO:0050826),OS06G0473800 PROTEIN (PTHR33203:SF56),
SORBI_3010G159500,Non-specific lipid-transfer protein,Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,lipid transport(GO:0006869),NON-SPECIFIC LIPID-TRANSFER PROTEIN 15-RELATED (PTHR33076:SF24),
SORBI_3010G170000,O-acyltransferase,Lipids,Lipids,High,GO_BP:triglyceride; Name/Family:diacylglycerol,individual,triglyceride biosynthetic process(GO:0019432),DIACYLGLYCEROL O-ACYLTRANSFERASE 1 (PTHR10408:SF7),acyltransferase(PC00042)
SORBI_3010G171000,Phospholipid-transporting ATPase,Lipids,Lipids,High,Other:\blipid\b; GO_BP:phospholipid,individual,phospholipid transport(GO:0015914);phospholipid translocation(GO:0045332),PHOSPHOLIPID-TRANSPORTING ATPASE (PTHR24092:SF150),primary active transporter(PC00068)
SORBI_3007G223801,Glycerol-3-phosphate dehydrogenase NAD-dependent N-terminal domain-containing protein,Lipids,,High,https://pubmed.ncbi.nlm.nih.gov/26747130/,,,,
SORBI_3001G056400,tryptophan synthase,Nitrogen,Nitrogen,High,GO_BP:amino acid biosynthetic process,individual,L-tryptophan biosynthetic process(GO:0000162);L-tryptophan metabolic process(GO:0006568);amino acid biosynthetic process(GO:0008652);aromatic amino acid family biosynthetic process(GO:0009073),TRYPTOPHAN SYNTHASE (PTHR43406:SF3),lyase(PC00144)
SORBI_3001G056500,tryptophan synthase,Nitrogen,Nitrogen,High,GO_BP:amino acid biosynthetic process,individual,L-tryptophan biosynthetic process(GO:0000162);L-tryptophan metabolic process(GO:0006568);amino acid biosynthetic process(GO:0008652);aromatic amino acid family biosynthetic process(GO:0009073),TRYPTOPHAN SYNTHASE (PTHR43406:SF3),lyase(PC00144)
SORBI_3001G056601,tryptophan synthase,Nitrogen,Nitrogen,High,GO_BP:amino acid biosynthetic process,individual,L-tryptophan biosynthetic process(GO:0000162);L-tryptophan metabolic process(GO:0006568);amino acid biosynthetic process(GO:0008652);aromatic amino acid family biosynthetic process(GO:0009073),,
SORBI_3001G157200,Cationic amino acid transporter C-terminal domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid transport,individual,amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);transmembrane transport(GO:0055085),CATIONIC AMINO ACID TRANSPORTER 1 (PTHR43243:SF96),amino acid transporter(PC00046)
SORBI_3001G535500,Folylpolyglutamate synthase,Nitrogen,Nitrogen,High,GO_BP:glutamate,sum_ratio,one-carbon metabolic process(GO:0006730);folic acid-containing compound biosynthetic process(GO:0009396);tetrahydrofolylpolyglutamate biosynthetic process(GO:0046901),FOLYLPOLYGLUTAMATE SYNTHASE (PTHR11136:SF16),ligase(PC00142)
SORBI_3001G541900,Protein NRT1_ PTR FAMILY 6.3,Nitrogen,Nitrogen,High,GO_BP:nitrate,sum_ratio,oligopeptide transport(GO:0006857);response to nitrate(GO:0010167);nitrate transmembrane transport(GO:0015706);transmembrane transport(GO:0055085),"TRANSPORTER, PUTATIVE, EXPRESSED-RELATED (PTHR11654:SF142)",transporter(PC00227)
SORBI_3003G130600,Phosphoribosyl-AMP cyclohydrolase domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid biosynthetic process,sum_ratio,L-histidine biosynthetic process(GO:0000105);amino acid biosynthetic process(GO:0008652),HISTIDINE BIOSYNTHESIS BIFUNCTIONAL PROTEIN HIS7 (PTHR42945:SF1),hydrolase(PC00121)
SORBI_3003G229600,Tetrapyrrole methylase domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:nitrate,individual,porphyrin-containing compound biosynthetic process(GO:0006779);response to light stimulus(GO:0009416);siroheme biosynthetic process(GO:0019354);methylation(GO:0032259);regulation of nitrate assimilation(GO:0090352);regulation of sulfate assimilation(GO:1900058);positive regulation of chlorophyll biosynthetic process(GO:1902326),"S-ADENOSYL-L-METHIONINE-DEPENDENT UROPORPHYRINOGEN III METHYLTRANSFERASE, CHLOROPLASTIC (PTHR45790:SF3)",methyltransferase(PC00155)
SORBI_3003G375900,Amino acid transporter transmembrane domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid transport,individual,amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),OS01G0878400 PROTEIN (PTHR48017:SF186),
SORBI_3003G376000,Amino acid transporter transmembrane domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid transport,individual,amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),OS01G0878700 PROTEIN (PTHR48017:SF225),
SORBI_3004G023900,3-isopropylmalate dehydratase,Nitrogen,Nitrogen,High,GO_BP:amino acid biosynthetic process,individual,amino acid biosynthetic process(GO:0008652);L-leucine biosynthetic process(GO:0009098);oxoacid metabolic process(GO:0043436),"HOMOACONITASE, MITOCHONDRIAL (PTHR43822:SF2)",
SORBI_3004G173200,Ammonium transporter AmtB-like domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:\bammonium\b,sum_ratio,ammonium transmembrane transport(GO:0072488),AMMONIUM TRANSPORTER 3 MEMBER 3 (PTHR43029:SF8),transporter(PC00227)
SORBI_3005G082200,ACT domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid biosynthetic process,sum_ratio,amino acid biosynthetic process(GO:0008652);branched-chain amino acid biosynthetic process(GO:0009082);isoleucine biosynthetic process(GO:0009097);L-valine biosynthetic process(GO:0009099),OS11G0256050 PROTEIN (PTHR30239:SF27),transferase(PC00220)
SORBI_3005G152100,Aminotransferase class I_classII domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid metabolic process,sum_ratio,amino acid metabolic process(GO:0006520);L-tyrosine catabolic process(GO:0006572),AMINOTRANSFERASE CLASS I_CLASSII DOMAIN-CONTAINING PROTEIN (PTHR45744:SF12),transaminase(PC00216)
SORBI_3005G152200,Aminotransferase class I_classII domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid metabolic process,sum_ratio,amino acid metabolic process(GO:0006520);L-tyrosine catabolic process(GO:0006572),TYROSINE AMINOTRANSFERASE (PTHR45744:SF11),transaminase(PC00216)
SORBI_3008G059400,Amino acid transporter transmembrane domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid transport,sum_ratio,amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),AMINO ACID PERMEASE 2 (PTHR48017:SF123),
SORBI_3010G116400,Amino acid transporter transmembrane domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid transport,sum_ratio,amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);L-alpha-amino acid transmembrane transport(GO:1902475),AMINO ACID TRANSPORTER AVT6A (PTHR22950:SF643),amino acid transporter(PC00046)
SORBI_3010G159400,Cationic amino acid transporter C-terminal domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:amino acid transport,sum_ratio,amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);transmembrane transport(GO:0055085),"CATIONIC AMINO ACID TRANSPORTER 8, VACUOLAR (PTHR43243:SF62)",amino acid transporter(PC00046)
SORBI_3010G171600,Protein kinase domain-containing protein,Nitrogen,Nitrogen,High,GO_BP:glutamate,individual,MAPK cascade(GO:0000165);response to L-glutamate(GO:1902065),MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 1-RELATED (PTHR48016:SF29),non-receptor serine/threonine protein kinase(PC00167)
SORBI_3001G028500,SPX domain-containing protein,Phosphorus,Phosphorus;Cold,High,GO_BP:phosphate starvation; Name/Family:\bspx\b; GO_BP:cellular response to phosphate starvation,individual,cellular response to phosphate starvation(GO:0016036);cellular response to cold(GO:0070417),SPX DOMAIN-CONTAINING PROTEIN 4 (PTHR45978:SF7),
SORBI_3001G042800,Nudix hydrolase domain-containing protein,Phosphorus,Phosphorus,Low,Other:\bphosphatase\b,individual,,DIPHOSPHOINOSITOL-POLYPHOSPHATE DIPHOSPHATASE (PTHR12629:SF0),phosphatase(PC00181)
SORBI_3001G186800,Purple acid phosphatase,Phosphorus,Phosphorus,Medium,Name/Family:\bphosphatase\b; Name/Family:acid phosphatase; Name/Family:purple acid phosphatase,individual,,PURPLE ACID PHOSPHATASE 18 (PTHR22953:SF155),phosphatase(PC00181)
SORBI_3001G259100,SPX domain-containing protein,Phosphorus,Phosphorus;Cold,High,GO_BP:phosphate starvation; Name/Family:\bspx\b; GO_BP:cellular response to phosphate starvation,sum_ratio,cellular response to phosphate starvation(GO:0016036);cellular response to cold(GO:0070417),SPX DOMAIN-CONTAINING PROTEIN 3 (PTHR45978:SF2),
SORBI_3001G384300,HTH myb-type domain-containing protein,Phosphorus,Phosphorus,Medium,Name/Family:phosphate starvation; Name/Family:phosphate starvation response,individual,regulation of DNA-templated transcription(GO:0006355),PROTEIN PHOSPHATE STARVATION RESPONSE 1 (PTHR31314:SF21),homeodomain transcription factor(PC00119)
SORBI_3001G414400,PGG domain-containing protein,Phosphorus,Phosphorus,Low,Other:\bphosphatase\b,sum_ratio,,ANKYRIN REPEAT FAMILY PROTEIN (PTHR24186:SF18),phosphatase modulator(PC00184)
SORBI_3001G414500,PGG domain-containing protein,Phosphorus,Phosphorus,Low,Other:\bphosphatase\b,sum_ratio,,ANKYRIN REPEAT-CONTAINING PROTEIN ITN1 (PTHR24186:SF48),phosphatase modulator(PC00184)
SORBI_3002G062800,Rx N-terminal domain-containing protein,Phosphorus,Phosphorus,Low,Other:\bphosphatase\b,sum_ratio,defense response(GO:0006952),RX N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR45778:SF33),phosphatase(PC00181)
SORBI_3002G161700,MYB-CC type transcription factor LHEQLE-containing domain-containing protein,Phosphorus,Phosphorus,Medium,Name/Family:phosphate starvation; Name/Family:phosphate starvation response,sum_ratio,regulation of DNA-templated transcription(GO:0006355),PROTEIN PHOSPHATE STARVATION RESPONSE 1-LIKE ISOFORM X1 (PTHR31499:SF49),homeodomain transcription factor(PC00119)
SORBI_3003G113200,5'-nucleotidase,Phosphorus,Phosphorus,Low,Other:\bphosphatase\b,individual,,"HAD-SUPERFAMILY HYDROLASE, SUBFAMILY IG, 5'-NUCLEOTIDASE (PTHR12103:SF22)",nucleotide phosphatase(PC00173)
SORBI_3007G190200,Purple acid phosphatase,Phosphorus,Phosphorus,Medium,Name/Family:\bphosphatase\b; Name/Family:acid phosphatase; Name/Family:purple acid phosphatase,individual,,INACTIVE PURPLE ACID PHOSPHATASE 24-RELATED (PTHR45778:SF6),phosphatase(PC00181)
SORBI_3007G198300,Inositol polyphosphate-related phosphatase domain-containing protein,Phosphorus,Phosphorus,Medium,Name/Family:\bphosphatase\b,sum_ratio,pollen germination(GO:0009846);phosphatidylinositol dephosphorylation(GO:0046856),"TYPE II INOSITOL 1,4,5-TRISPHOSPHATE 5-PHOSPHATASE (PTHR11200:SF300)",phosphatase(PC00181)
SORBI_3008G173900,Serine_threonine-protein phosphatase,Phosphorus,Phosphorus,Medium,Name/Family:\bphosphatase\b,individual,brassinosteroid mediated signaling pathway(GO:0009742),SERINE_THREONINE-PROTEIN PHOSPHATASE BSL2 HOMOLOG (PTHR46422:SF13),protein phosphatase(PC00195)
SORBI_3010G105300,Nudix hydrolase domain-containing protein,Phosphorus,Phosphorus,Low,Other:\bphosphatase\b,sum_ratio,,OS06G0255400 PROTEIN (PTHR12629:SF10),phosphatase(PC00181)
SORBI_3010G169900,Serine_threonine-protein phosphatase 2A 55 kDa regulatory subunit B,Phosphorus,Phosphorus,Medium,Name/Family:\bphosphatase\b,individual,,SERINE_THREONINE PROTEIN PHOSPHATASE 2A 55 KDA REGULATORY SUBUNIT B ALPHA ISOFORM (PTHR11871:SF28),protein phosphatase(PC00195)
SORBI_3010G073600,Auxin response factor,Phosphorus,,High,,individual,regulation of DNA-templated transcription(GO:0006355);response to hormone(GO:0009725);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734);lateral root formation(GO:0010311);leaf development(GO:0048366);callus formation(GO:1990110),AUXIN RESPONSE FACTOR 19 (PTHR31384:SF21),
